rubygem_id,gem_downloads
15786,5903
15787,10936
15788,76729
15789,70449459
15790,963433
15791,578550
15792,512965
15793,3244522
15794,23140053
15795,62911
15796,18490516
15797,18273275
15798,138157
15799,10196
15800,7227632
15801,53790
15802,5117
15803,5145
15804,5225
15805,5502
15806,5131
15807,1719
15808,5407
15809,5121
15810,5211
15811,5251
15812,10329
15813,6307
15814,5883
15815,30855490
15816,81134
15817,230136
15818,5910
15819,19119
15820,254988261
15821,77930853
15822,14406
15823,10244
15824,5955
15825,28815
15826,5981
15827,10258
15828,41159
15829,139359
15830,795569
15831,10198
15832,10202
15833,78675
15834,115746
15835,14311
15836,10494
15837,5947
15838,5869
15839,19405
15840,6291
15841,10465
15842,18752
15843,6109
15844,14550
15845,76008
15846,5833
15847,85703
15848,141857
15849,36456
15850,14547
15851,30450
15852,11820
15853,758182
15854,590811
15855,42240
15856,2765295
15857,24100935
15858,8039123
15859,63278
15860,41833
15861,40560
15862,23071
15863,47829
15864,10212
15865,13233
15866,5993
15867,25088
15868,28207
15869,9224
15870,5783
15871,3276158
15872,5881
15873,158625
15874,14764
15875,21615
15876,10446
15877,5817
15878,5937
15879,5855
15880,30196
15881,10062
15882,964805
15883,39690
15884,10168
15885,40224
15886,171837
15887,32948
15888,15112
15889,122147
15890,90425
15891,5839
15892,22833
15893,14954207
15894,103038
15895,34025
15896,27442
15897,5965
15898,1540111
15899,14559
15900,277854
15901,4976481
15902,10520
15903,62732
15904,5837
15905,192149
15906,636155
15907,16951
15908,24809
15909,5925
15910,31622
15911,53919
15912,5767
15913,53337
15914,28149831
15915,6221
15916,128184576
15917,21287
15918,109730
15919,6753621
15920,2007718
15921,33571
15922,29564
15923,77922
15924,6201
15925,6229
15926,10242
15927,6327
15928,31663
15929,77331
15930,215023
15931,18982
15932,40702
15933,16953
15934,18897
15935,36342
15936,81785
15937,6079
15938,5863
15939,58411
15940,10983
15941,229831
15943,6367
15944,14669
15945,10210
15946,66219
15947,10150
15948,80902
15949,6659
15950,552425
15951,5766
15952,5780
15953,5872
15954,5844
15955,11302
15956,1049589
15957,18574
15958,14470
15959,14516
15960,5868
15961,19154
15962,183893
15963,14582
15964,5788
15965,5862
15966,5806
15967,5804
15968,5857
15969,5862
15970,5821
15971,39041
15972,56256
15973,6279
15974,5972
15975,123814
15976,128562
15977,261495
15978,10184
15979,5924
15980,10072
15981,5820
15982,5792
15983,6349
15984,5902
15985,5844
15986,5842
15987,124867
15988,31569
15989,5812
15990,5868
15991,5903
15992,5856
15993,5748
15994,5768
15995,5852
15996,5809
15997,5883
15998,5872
15999,36211
16000,280196154
16001,386407838
16002,191944
16003,49699
16004,104215724
16005,18702
16006,489520
16007,2237901
16008,16204907
16009,940457
16010,916993
16011,72938
16012,82989459
16013,109147
16014,31919900
16015,12101949
16016,29203
16017,210946
16018,225636
16019,10222
16020,680417
16021,5783
16022,14196
16023,14131
16024,13277
16025,10030
16026,8526
16027,22766
16028,10072
16029,5769
16030,26094
16031,5875
16032,37985
16033,14766
16034,14318
16035,15204
16036,71855
16038,20632
